Molecule,Nucleophilicity,Electrophilicity,Softness,Hardness,ChemPotential,MullikenElectronegativity,EA,IP,E_Cation,E_Anion,E_Neutral,sum_zero-point,dU,dH,dG,Dipole_Moment,w+,w-
CHEMBL1743583,-5.1806,11.3276,0.1448,6.9041,-12.5066,12.5066,9.0545,15.9587,-19856.699601416098,-19881.712770246893,-19872.658263107733,-729.987189,-19863.519727207837,-19863.49403965922,-19865.132464436476,2.0093,29.339869358144316,16.833269358144324
CHEMBL1743583-conf_1,-5.6281,10.1696,0.1284,7.7859,-12.5841,12.5841,8.6912,16.4771,-19856.458617379503,-19881.62683668913,-19872.935683190506,-729.997201,-19863.802344665386,-19863.77665711677,-19865.380332953788,4.3115,27.118131865375233,14.53398186537523
CHEMBL1743583-conf_2,-5.0946,10.8154,0.1399,7.1486,-12.4350,12.4350,8.8607,16.0093,-19856.747302976186,-19881.61725828117,-19872.75655063485,-729.991225,-19863.62677680133,-19863.601089252716,-19865.2602218949,0.0001,28.294987916864844,15.859987916864835
CHEMBL1743593,-5.4466,8.5168,0.1120,8.9274,-12.3315,12.3315,7.8678,16.7952,-15729.988385502178,-15754.651371003376,-15746.783579629782,-578.391676,-15738.49071919164,-15738.465031643025,-15739.927970190376,0.2183,23.757327242254185,11.425827242254181
CHEMBL1743593-conf_1,-5.4474,8.4364,0.1109,9.0168,-12.3345,12.3345,7.826,16.8429,-15730.103680145701,-15754.772597729103,-15746.946548622009,-578.397542,-15738.655075964565,-15738.62938841595,-15740.072381017184,0.3724,23.603393434065477,11.268943434065473
CHEMBL1743593-conf_10,-5.4957,8.5611,0.1105,9.0482,-12.4469,12.4469,7.9228,16.971,-15729.677005609366,-15754.570852511473,-15746.64803971489,-578.387224,-15738.365356335207,-15738.33966878659,-15739.804947513157,0.0003,23.91118787189717,11.464287871897172
CHEMBL1743593-conf_2,-5.4452,8.4440,0.1116,8.9587,-12.3002,12.3002,7.8208,16.7795,-15730.172171204882,-15754.772461672172,-15746.951664362623,-578.397665,-15738.658450176461,-15738.632762627845,-15740.075129367195,0.0001,23.597900480050118,11.297750480050121
CHEMBL1743593-conf_3,-5.4731,8.5459,0.1118,8.9416,-12.3624,12.3624,7.8916,16.8332,-15729.963650352081,-15754.688405700057,-15746.796831574884,-578.392349,-15738.509440625377,-15738.48375307676,-15739.938419362694,0.4817,23.831950080522496,11.469550080522502
CHEMBL1743593-conf_4,-5.4695,8.5152,0.1117,8.9507,-12.3464,12.3464,7.8711,16.8218,-15729.978426134812,-15754.671316949494,-15746.800232998163,-578.39246,-15738.51254272341,-15738.486855174795,-15739.93991598894,0.2125,23.76313606931581,11.416686069315812
CHEMBL1743593-conf_5,-5.4451,8.4440,0.1116,8.9587,-12.3002,12.3002,7.8208,16.7795,-15730.172171204882,-15754.772461672172,-15746.951664362623,-578.397665,-15738.658450176461,-15738.632762627845,-15740.075129367195,0.0,23.597900480050118,11.297750480050121
CHEMBL1743593-conf_6,-5.4466,8.5168,0.1120,8.9274,-12.3315,12.3315,7.8678,16.7952,-15729.988385502178,-15754.651371003376,-15746.783579629782,-578.391677,-15738.49071919164,-15738.465031643025,-15739.92802461315,0.2182,23.757327242254185,11.425827242254181
CHEMBL1743593-conf_7,-5.4985,8.5637,0.1103,9.0690,-12.4631,12.4631,7.9286,16.9975,-15729.649576532029,-15754.575696138225,-15746.647114527761,-578.38713,-15738.363968554506,-15738.33828100589,-15739.800321577497,0.4802,23.92583461893118,11.462784618931181
CHEMBL1743593-conf_8,-5.5012,8.4760,0.1096,9.1250,-12.4374,12.4374,7.8748,16.9999,-15729.6385559206,-15754.513273218177,-15746.638434095545,-578.386794,-15738.354281301004,-15738.328566541002,-15739.79275681212,0.6067,23.740881950951227,11.303531950951221
CHEMBL1743593-conf_9,-5.4965,8.4899,0.1102,9.0741,-12.4127,12.4127,7.8757,16.9498,-15729.691781392097,-15754.517273291958,-15746.641536193578,-578.387013,-15738.359587521321,-15738.333899972706,-15739.799369178978,0.3606,23.75330177379851,11.3405517737985
CHEMBL2068442,3.2253,1.0194,0.1379,7.2508,-3.8449,3.8449,0.2195,7.4704,-24007.459805111965,-24015.14968844228,-24014.93014697805,-882.269223,-24007.327721043126,-24007.30203349451,-24008.99787429674,15.0073,4.414525976861494,0.5695759768614931
CHEMBL2068442-conf_1,3.2255,1.0194,0.1379,7.2508,-3.8449,3.8449,0.2195,7.4704,-24007.459805111965,-24015.14968844228,-24014.93014697805,-882.269223,-24007.327721043126,-24007.30203349451,-24008.997928719513,15.0087,4.414525976861494,0.5695759768614931
CHEMBL2068442-conf_2,3.2298,1.0221,0.1379,7.2494,-3.8496,3.8496,0.2249,7.4743,-24007.45017228123,-24015.14936190565,-24014.92448700971,-882.269014,-24007.322741359443,-24007.297053810827,-24008.98992857196,15.1562,4.422114630521148,0.5725146305211466
CHEMBL2068442-conf_3,3.2508,1.0514,0.1398,7.1534,-3.8785,3.8785,0.3018,7.4551,-24007.237923468514,-24014.994828443156,-24014.693081381076,-882.260732,-24007.09147178774,-24007.065784239123,-24008.780618588953,15.3334,4.489164287898591,0.6107142878985923
CHEMBL611190,-0.8106,3.9433,0.1256,7.9627,-7.9245,7.9245,3.9432,11.9059,-27798.536123026835,-27814.385204466056,-27810.442002485164,-1021.733892,-27802.427242414455,-27802.40155486584,-27803.90131041878,7.2906,12.346526530024361,4.421976530024364
CHEMBL611190-conf_1,-0.7613,3.8866,0.1256,7.9588,-7.8654,7.8654,3.886,11.8448,-27798.624451186588,-27814.35532636396,-27810.469295505565,-1021.734772,-27802.452739483364,-27802.42702472336,-27803.918453592116,7.4397,12.203221089862796,4.337821089862794
CHEMBL611190-conf_10,-0.7536,3.9846,0.1271,7.8692,-7.9190,7.9190,3.9845,11.8536,-27798.46202642209,-27814.300141672647,-27810.31568723021,-1021.729445,-27802.302886379308,-27802.277198830692,-27803.786451157437,7.4034,12.420660813260092,4.501610813260093
CHEMBL611190-conf_2,-0.7628,3.9009,0.1262,7.9234,-7.8623,7.8623,3.9007,11.824,-27798.609267233063,-27814.333965425754,-27810.433294841565,-1021.733243,-27802.411078851022,-27802.38539130241,-27803.880847456323,7.268,12.228250107988467,4.365900107988464
CHEMBL611190-conf_3,-0.7860,3.9719,0.1266,7.8963,-7.9200,7.9200,3.9719,11.8682,-27798.587144376048,-27814.427246057803,-27810.455336064424,-1021.7342,-27802.437446684296,-27802.411731924294,-27803.907677883162,7.3654,12.397415183772777,4.477365183772781
CHEMBL611190-conf_4,-0.7660,3.9031,0.1256,7.9608,-7.8831,7.8831,3.9027,11.8635,-27798.589892726057,-27814.356088282773,-27810.453404056,-1021.733912,-27802.431786715955,-27802.40609916734,-27803.893745653404,7.4313,12.245258377298763,4.362158377298763
CHEMBL611190-conf_5,-0.7789,3.9203,0.1263,7.9203,-7.8803,7.8803,3.9202,11.8405,-27798.565973917546,-27814.326618351468,-27810.406464414726,-1021.732461,-27802.388520611825,-27802.36283306321,-27803.86201717704,7.221,12.2757952578343,4.395445257834299
CHEMBL611190-conf_6,-0.8298,3.9487,0.1252,7.9882,-7.9427,7.9427,3.9486,11.9369,-27798.483877165243,-27814.369340227873,-27810.420723181116,-1021.732868,-27802.40057525593,-27802.374887707316,-27803.875976618187,7.1582,12.368103480167868,4.42535348016787
CHEMBL611190-conf_7,-0.8105,3.9433,0.1254,7.9723,-7.9294,7.9294,3.9432,11.9155,-27798.526462984715,-27814.385204466056,-27810.442002485164,-1021.733889,-27802.427160780295,-27802.40147323168,-27803.90125599601,7.2911,12.349575138996899,4.420225138996902
CHEMBL611190-conf_8,-0.8458,4.0485,0.1268,7.8840,-7.9898,7.9898,4.0478,11.9318,-27798.435005515545,-27814.414565551815,-27810.36679021358,-1021.730906,-27802.34528171908,-27802.319594170465,-27803.825227382837,6.9958,12.584669791983766,4.594869791983765
CHEMBL611190-conf_9,-0.7665,3.8949,0.1258,7.9494,-7.8692,7.8692,3.8944,11.8439,-27798.568069194287,-27814.306400291487,-27810.411961114747,-1021.732806,-27802.397718060376,-27802.37203051176,-27803.86811252756,7.4134,12.221030891958613,4.351880891958613
carboplatin-conf_1,3.0333,1.2067,0.1342,7.4521,-4.2409,4.2409,0.5149,7.9669,-20830.307082633448,-20838.788871726294,-20838.27403229852,-765.59618,-20832.525626954073,-20832.499939405458,-20834.105520039513,13.311,4.9996772960279126,0.7587772960279119
cisplatin,2.9949,1.2186,0.1206,8.2938,-4.4960,4.4960,0.3491,8.6429,-31368.452715569743,-31377.44469094331,-31377.09562328055,-1153.006635,-31374.661836894717,-31374.636149346097,-31375.878947778725,11.0921,5.203606706515711,0.7076067065157104
cisplatin-conf_1,2.9929,1.2191,0.1205,8.2959,-4.4976,4.4976,0.3496,8.6455,-31368.450076065274,-31377.44518074827,-31377.09559606916,-1153.006643,-31374.661836894717,-31374.636149346097,-31375.87970969754,11.0958,5.205576348030354,0.7080263480303524
cisplatin-conf_2,2.9945,1.2184,0.1206,8.2952,-4.4961,4.4961,0.3484,8.6437,-31368.451926439542,-31377.444065081432,-31377.09562328055,-1153.006639,-31374.66189131749,-31374.63620376887,-31375.879138258428,11.0882,5.203338940800815,0.7072889408008148
imifoplatin,2.7132,1.0559,0.1229,8.1334,-4.1443,4.1443,0.0776,8.211,-45619.76985537959,-45628.05849805287,-45627.98089117929,-1676.53472,-45620.31019187628,-45620.28450432767,-45622.16336891378,16.3815,4.692177874259229,0.5478778742592274
imifoplatin-conf_1,2.5876,1.1250,0.1224,8.1674,-4.2867,4.2867,0.203,8.3704,-45619.4050323242,-45627.97849657731,-45627.77547242453,-1676.52734,-45620.101970348725,-45620.07625558872,-45621.98450847199,19.8886,4.903708046930479,0.6170080469304796
imifoplatin-conf_2,2.5876,1.1249,0.1224,8.1675,-4.2867,4.2867,0.203,8.3704,-45619.4050323242,-45627.978442154534,-45627.77547242453,-1676.52734,-45620.10194313734,-45620.07625558872,-45621.984562894766,19.8879,4.903708046930479,0.6170080469304796
imifoplatin-conf_3,2.7277,1.0534,0.1238,8.0801,-4.1259,4.1259,0.0859,8.166,-45619.548109793075,-45627.79993546076,-45627.71408353716,-1676.526027,-45620.04825507227,-45620.022567523665,-45621.99305284727,17.6186,4.67481945775733,0.5488694577573298
iproplatin,2.8431,1.4379,0.1371,7.2947,-4.5801,4.5801,0.9328,8.2275,-41914.13889574864,-41923.29914633475,-41922.36636722563,-1540.340146,-41914.241618731714,-41914.2159311831,-41916.117598910896,8.8759,5.621749301633377,1.0415993016333778
iproplatin-conf_1,2.6745,1.0535,0.1198,8.3491,-4.1942,4.1942,0.0196,8.3687,-41914.257238067425,-41922.645637682675,-41922.6259910618,-1540.349738,-41914.53631804476,-41914.510630496145,-41916.313330412166,8.8958,4.725814762145022,0.5316647621450217
iproplatin-conf_10,2.8334,0.9945,0.1198,8.3454,-4.0743,4.0743,-0.0984,8.247,-41914.38638330655,-41922.53496897481,-41922.63339255886,-1540.349372,-41914.50415418622,-41914.4784666376,-41916.340269684544,8.6487,4.547847727191027,0.4735477271910274
iproplatin-conf_2,2.7715,1.4185,0.1354,7.3861,-4.5776,4.5776,0.8846,8.2707,-41914.34510363361,-41923.500401747435,-41922.61578679196,-1540.349181,-41914.4958819248,-41914.47019437618,-41916.33529000086,8.7912,5.587525816144515,1.0098758161445147
iproplatin-conf_3,2.7398,1.4314,0.1347,7.4243,-4.6102,4.6102,0.8981,8.3224,-41914.31084449833,-41923.53128667082,-41922.63320207916,-1540.349625,-41914.5101134798,-41914.48442593119,-41916.35594344302,8.6835,5.631959781477715,1.0217097814777152
iproplatin-conf_4,2.6961,1.4612,0.1352,7.3942,-4.6486,4.6486,0.9515,8.3456,-41914.28815020219,-41923.58527406113,-41922.63380072965,-1540.349318,-41914.507718877816,-41914.4820313292,-41916.325929283994,8.4981,5.708873771740307,1.0603237717403065
iproplatin-conf_5,2.7626,1.4353,0.1356,7.3771,-4.6018,4.6018,0.9133,8.2904,-41914.3215929959,-41923.52524574307,-41922.6119499865,-1540.348738,-41914.48823552526,-41914.46254797665,-41916.31411954237,8.4769,5.632637149506581,1.0307871495065812
iproplatin-conf_6,2.7426,1.4677,0.1370,7.2985,-4.6286,4.6286,0.9794,8.2779,-41914.30347021265,-41923.560674967965,-41922.58133717698,-1540.347244,-41914.452942357304,-41914.427227597305,-41916.2582545664,8.1245,5.705933852932109,1.0772838529321094
iproplatin-conf_7,2.7660,1.4412,0.1358,7.3657,-4.6077,4.6077,0.9248,8.2905,-41914.35261397621,-41923.56794040809,-41922.64310702375,-1540.349273,-41914.50818147138,-41914.48249392277,-41916.31749375426,8.4021,5.6465194558052865,1.0388694558052867
iproplatin-conf_8,2.7718,1.4365,0.1360,7.3541,-4.5965,4.5965,0.9195,8.2736,-41914.32221885778,-41923.5152863757,-41922.595813634456,-1540.348002,-41914.469758994004,-41914.44407144539,-41916.289384392265,8.3778,5.63089844517004,1.034348445170041
iproplatin-conf_9,2.7456,1.4770,0.1375,7.2731,-4.6351,4.6351,0.9986,8.2716,-41914.27625882641,-41923.54644341295,-41922.54789438328,-1540.345947,-41914.417458709635,-41914.39177116103,-41916.22424033359,8.2938,5.726072627870204,1.0909726278702045
lobaplatin,3.9924,0.8548,0.1415,7.0694,-3.4765,3.4765,-0.0583,7.0112,-21992.7331757101,-21999.686065855334,-21999.744325433287,-808.195385,-21991.678625647528,-21991.65293809891,-21993.354683771955,12.3529,3.889624532233539,0.4131745322335384
lobaplatin-conf_1,3.9356,0.7957,0.1368,7.3115,-3.4111,3.4111,-0.2446,7.0669,-21992.714046105568,-21999.53632159682,-21999.780951959172,-808.196484,-21991.712748725877,-21991.68706117726,-21993.382221694836,11.9627,3.754001634497026,0.34285163449702516
lobaplatin-conf_2,3.9331,0.8015,0.1369,7.3035,-3.4217,3.4217,-0.23,7.0735,-21992.704984713946,-21999.5484306637,-21999.778475723026,-808.196327,-21991.70880307487,-21991.68308831487,-21993.376480092338,11.9233,3.7704618526220304,0.34871185262203047
lobaplatin-conf_3,3.9330,0.8016,0.1369,7.3037,-3.4218,3.4218,-0.23,7.0736,-21992.704848657017,-21999.5484306637,-21999.778475723026,-808.196327,-21991.708775863484,-21991.68308831487,-21993.376561726494,11.924,3.7705180034503534,0.3487180034503532
lobaplatin-conf_4,3.9924,0.8548,0.1415,7.0695,-3.4765,3.4765,-0.0583,7.0112,-21992.73306686455,-21999.686065855334,-21999.744325433287,-808.195385,-21991.678652858915,-21991.652965310295,-21993.35471098334,12.3526,3.889624532233539,0.4131745322335384
lobaplatin-conf_5,3.9876,0.8149,0.1391,7.1869,-3.4224,3.4224,-0.1711,7.0158,-21992.590996216964,-21999.435775524642,-21999.606826298586,-808.190092,-21991.53875912222,-21991.51304436222,-21993.200640114417,12.4993,3.7900546627370635,0.3677046627370632
lobaplatin-conf_6,3.9791,0.8177,0.1391,7.1877,-3.4285,3.4285,-0.1654,7.0224,-21992.58958122488,-21999.446551233596,-21999.611914827812,-808.190257,-21991.54382044006,-21991.518132891448,-21993.201238764916,12.485,3.7988435547038044,0.3703435547038037
lobaplatin-conf_7,3.9925,0.8548,0.1415,7.0694,-3.4764,3.4764,-0.0583,7.0111,-21992.733202921485,-21999.686038643948,-21999.744325433287,-808.195385,-21991.678652858915,-21991.652965310295,-21993.35465656057,12.3525,3.8895682890344307,0.4131682890344301
nedaplatin,3.8201,1.0418,0.1401,7.1378,-3.8565,3.8565,0.2876,7.4254,-14569.55680540319,-14577.26987283459,-14576.98224848197,-535.571492,-14573.349011401804,-14573.323296641802,-14574.675049464953,11.4155,4.4580006307966045,0.601500630796604
nedaplatin-conf_1,3.8201,1.0420,0.1401,7.1376,-3.8569,3.8569,0.2881,7.4256,-14569.5565877121,-14577.27030821677,-14576.982221270584,-535.571485,-14573.349147458735,-14573.32345991012,-14574.673525627324,11.4175,4.458622697110333,0.6017726971103327
oxaliplatin,3.5927,1.0239,0.1347,7.4237,-3.8990,3.8990,0.1872,7.6109,-22937.98356247505,-22945.78166548847,-22945.594451151097,-842.998698,-22938.77413487965,-22938.748447331036,-22940.323115830313,18.0761,4.4613517855819875,0.5623017855819874
oxaliplatin-conf_1,3.5928,1.0240,0.1347,7.4234,-3.8991,3.8991,0.1874,7.6108,-22937.98364410921,-22945.7818015454,-22945.594451151097,-842.998699,-22938.774189302425,-22938.74850175381,-22940.32306140754,18.0767,4.461493318762292,0.5623933187622921
oxaliplatin-conf_2,3.5860,1.0210,0.1344,7.4381,-3.8972,3.8972,0.1781,7.6162,-22937.694985723912,-22945.489333566027,-22945.311207831663,-842.988519,-22938.491599056262,-22938.465911507643,-22940.057532700554,18.0437,4.455345727487531,0.5581957274875305
oxaliplatin-conf_3,3.5778,1.0607,0.1361,7.3496,-3.9485,3.9485,0.2737,7.6233,-22937.64518888708,-22945.542259712278,-22945.26854037803,-842.987077,-22938.45108130214,-22938.425393753525,-22940.02683825687,17.652,4.55489262136715,0.6063926213671492
picoplatin,3.1985,1.1104,0.1322,7.5622,-4.0981,4.0981,0.317,7.8792,-37657.15991660626,-37665.35614941185,-37665.039136762076,-1384.005041,-37660.32400217616,-37660.29828741616,-37661.8490915297,12.0145,4.742525828793209,0.6444258287932082
picoplatin-conf_1,3.1985,1.1105,0.1322,7.5621,-4.0982,4.0982,0.3171,7.8792,-37657.15991660626,-37665.356231046004,-37665.039136762076,-1384.005041,-37660.32400217616,-37660.29831462755,-37661.8490915297,12.0141,4.742628139752846,0.6444781397528465
picoplatin-conf_2,3.1989,1.1105,0.1322,7.5617,-4.0980,4.0980,0.3172,7.8789,-37657.16027035428,-37665.35631268016,-37665.039136762076,-1384.005042,-37660.32400217616,-37660.29828741616,-37661.84922758663,12.0144,4.742562231459194,0.6445122314591958
satraplatin,2.6570,1.5829,0.1414,7.0739,-4.7323,4.7323,1.1954,8.2692,-50191.13242899317,-50200.59703893445,-50199.401669948056,-1844.458476,-50189.612972396586,-50189.58728484797,-50191.7876247512,11.2318,5.974122898936923,1.2418228989369222
satraplatin-conf_1,1.9576,1.6993,0.1304,7.6695,-5.1054,5.1054,1.2707,8.9402,-50191.13789848181,-50201.34872626811,-50200.078063375964,-1844.481964,-50190.26648104867,-50190.24079350006,-50192.38137719909,6.5513,6.430676182361954,1.3252261823619533
satraplatin-conf_10,1.8883,1.6975,0.1311,7.6252,-5.0880,5.0880,1.2754,8.9006,-50191.021705862535,-50201.197648651665,-50199.92225097833,-1844.476734,-50190.115022472826,-50190.08933492421,-50192.27261328827,7.6733,6.415599917379217,1.3275999173792163
satraplatin-conf_3,2.0443,1.7400,0.1320,7.5736,-5.1338,5.1338,1.347,8.9206,-50191.088074433595,-50201.355637960216,-50200.00867434104,-1844.479528,-50190.19774508701,-50190.1720575384,-50192.32564828006,5.9581,6.520220217597973,1.3864202175979718
satraplatin-conf_4,1.9090,1.7136,0.1290,7.7515,-5.1542,5.1542,1.2784,9.0299,-50191.03786942597,-50201.3461683978,-50200.067777471966,-1844.481937,-50190.26335173925,-50190.23766419064,-50192.40107824273,6.8553,6.488656208556409,1.3345062085564083
satraplatin-conf_5,1.9089,1.7136,0.1290,7.7515,-5.1542,5.1542,1.2785,9.03,-50191.0378150032,-50201.34625003196,-50200.067777471966,-1844.481938,-50190.263378950636,-50190.23769140202,-50192.40107824273,6.8555,6.48883919443011,1.3345891944301103
satraplatin-conf_7,1.9021,1.6749,0.1295,7.7194,-5.0851,5.0851,1.2254,8.9448,-50191.11879608867,-50201.2889972753,-50200.06358691849,-1844.481841,-50190.26022242984,-50190.234534881216,-50192.39601692489,7.3116,6.3747860588258165,1.2896860588258157
satraplatin-conf_8,1.8682,1.7401,0.1311,7.6259,-5.1517,5.1517,1.3387,8.9646,-50191.0560194206,-50201.35939313151,-50200.02064735099,-1844.480085,-50190.21437124401,-50190.18868369539,-50192.334573614746,6.6403,6.532622840009049,1.3809728400090482
satraplatin-conf_9,1.8769,1.7004,0.1312,7.6220,-5.0913,5.0913,1.2803,8.9023,-50191.01005938923,-50201.19266896799,-50199.91237324512,-1844.476143,-50190.10277734901,-50190.0770898004,-50192.24015010447,7.4298,6.422882477040148,1.331582477040147
