Molecule,Density of all electrons_N+1_4(N),Density of Alpha electrons_N+1_4(N),Density of Beta electrons_N+1_4(N),Lagrangian kinetic energy G(r)_N+1_4(N),Hamiltonian kinetic energy K(r)_N+1_4(N),Potential energy density V(r)_N+1_4(N),Energy density E(r) or H(r)_N+1_4(N),Laplacian of electron density_N+1_4(N),Electron localization function (ELF)_N+1_4(N),Localized orbital locator (LOL)_N+1_4(N),Local information entropy_N+1_4(N),Sign(lambda2)*rho_N+1_4(N),Sign(lambda2)*rho with promolecular approximation_N+1_4(N),Average local ionization energy (ALIE)_N+1_4(N),Delta-g (under promolecular approximation)_N+1_4(N),Delta-g (under Hirshfeld partition)_N+1_4(N),ESP from nuclear charges_N+1_4(N),ESP from electrons_N+1_4(N),Total ESP_N+1_4(N)
CHEMBL1743583,0.1955273411E+03,0.9786782584E+02,0.9765951521E+02,0.1857826488E+02,0.3674244739E+06,-0.3674430521E+06,-0.3674244739E+06,-0.1469623582E+07,0.9999990351E+00,0.9990186346E+00,-0.8159187172E+00,-0.1931569138E+03,-0.1931569138E+03,0.1395067917E+02,0.5102046918E-01,0.7276259704E-01,0.1359425114E+07,-0.3779818669E+02,0.1359387316E+07
CHEMBL1743583-conf_1,0.1954794440E+03,0.9774920070E+02,0.9773024332E+02,0.1880101895E+02,0.3673569548E+06,-0.3673757558E+06,-0.3673569548E+06,-0.1469352615E+07,0.9999990109E+00,0.9990064739E+00,-0.8153164003E+00,-0.1931635453E+03,-0.1931635453E+03,0.1398285081E+02,0.4872227899E-01,0.6999270965E-01,0.2441634092E+07,-0.3909642185E+02,0.2441594996E+07
CHEMBL1743583-conf_2,0.1955114644E+03,0.9782170481E+02,0.9768975956E+02,0.1864399335E+02,0.3674034941E+06,-0.3674221381E+06,-0.3674034941E+06,-0.1469539400E+07,0.9999990280E+00,0.9990150325E+00,-0.8157190531E+00,-0.1931593632E+03,-0.1931593632E+03,0.1396629200E+02,0.5034845035E-01,0.7196663581E-01,0.1625907992E+07,-0.3845280442E+02,0.1625869539E+07
CHEMBL1743593,0.1954920657E+03,0.9780148064E+02,0.9769058508E+02,0.1856604787E+02,0.3673594451E+06,-0.3673780112E+06,-0.3673594451E+06,-0.1469363516E+07,0.9999990357E+00,0.9990189842E+00,-0.1278245732E+01,-0.1931573891E+03,-0.1931573891E+03,0.1395374975E+02,0.5106054416E-01,0.7277109987E-01,0.1392580765E+07,-0.3524330400E+02,0.1392545522E+07
CHEMBL1743593-conf_1,0.1955072808E+03,0.9781506866E+02,0.9769221210E+02,0.1855338476E+02,0.3673852502E+06,-0.3674038036E+06,-0.3673852502E+06,-0.1469466787E+07,0.9999990373E+00,0.9990197798E+00,-0.1278495867E+01,-0.1931573950E+03,-0.1931573950E+03,0.1395352978E+02,0.5125200866E-01,0.7300738842E-01,0.1393672329E+07,-0.3520771153E+02,0.1393637121E+07
CHEMBL1743593-conf_10,0.1954530687E+03,0.9773769493E+02,0.9771537373E+02,0.1864308523E+02,0.3672924528E+06,-0.3673110958E+06,-0.3672924528E+06,-0.1469095239E+07,0.9999990271E+00,0.9990145902E+00,-0.1277604674E+01,-0.1931596558E+03,-0.1931596558E+03,0.1397451636E+02,0.5117984627E-01,0.7279520965E-01,0.1650161874E+07,-0.3562419848E+02,0.1650126250E+07
CHEMBL1743593-conf_2,0.1955072289E+03,0.9781502401E+02,0.9769220487E+02,0.1855372171E+02,0.3673855039E+06,-0.3674040576E+06,-0.3673855039E+06,-0.1469467801E+07,0.9999990373E+00,0.9990197615E+00,-0.1278495014E+01,-0.1931573930E+03,-0.1931573930E+03,0.1395343783E+02,0.5125060163E-01,0.7300668825E-01,0.1393214114E+07,-0.3520725143E+02,0.1393178907E+07
CHEMBL1743593-conf_3,0.1955303872E+03,0.9786460209E+02,0.9766578510E+02,0.1854273798E+02,0.3674248211E+06,-0.3674433639E+06,-0.3674248211E+06,-0.1469625114E+07,0.9999990388E+00,0.9990205348E+00,-0.1278875758E+01,-0.1931560767E+03,-0.1931560767E+03,0.1393887278E+02,0.5122337188E-01,0.7309858923E-01,0.1271811975E+07,-0.3490290604E+02,0.1271777072E+07
CHEMBL1743593-conf_4,0.1955161962E+03,0.9784641857E+02,0.9766977765E+02,0.1856076854E+02,0.3674002451E+06,-0.3674188058E+06,-0.3674002451E+06,-0.1469526737E+07,0.9999990367E+00,0.9990194647E+00,-0.1278642442E+01,-0.1931558467E+03,-0.1931558467E+03,0.1393654826E+02,0.5125054602E-01,0.7312436498E-01,0.1260586545E+07,-0.3488235205E+02,0.1260551663E+07
CHEMBL1743593-conf_5,0.1955072430E+03,0.9781503986E+02,0.9769220316E+02,0.1855371155E+02,0.3673855305E+06,-0.3674040842E+06,-0.3673855305E+06,-0.1469467907E+07,0.9999990373E+00,0.9990197622E+00,-0.1278495246E+01,-0.1931573926E+03,-0.1931573926E+03,0.1395343393E+02,0.5125101652E-01,0.7300726094E-01,0.1393163652E+07,-0.3520716123E+02,0.1393128445E+07
CHEMBL1743593-conf_6,0.1954930342E+03,0.9780243070E+02,0.9769060347E+02,0.1856592204E+02,0.3673612919E+06,-0.3673798578E+06,-0.3673612919E+06,-0.1469370904E+07,0.9999990358E+00,0.9990189990E+00,-0.1278261653E+01,-0.1931573765E+03,-0.1931573765E+03,0.1395365240E+02,0.5107141043E-01,0.7278760884E-01,0.1390912645E+07,-0.3525397983E+02,0.1390877391E+07
CHEMBL1743593-conf_7,0.1954507843E+03,0.9773645773E+02,0.9771432653E+02,0.1864531050E+02,0.3672874721E+06,-0.3673061174E+06,-0.3672874721E+06,-0.1469075307E+07,0.9999990268E+00,0.9990144535E+00,-0.1277567124E+01,-0.1931597048E+03,-0.1931597048E+03,0.1397467265E+02,0.5117094430E-01,0.7279127196E-01,0.1656869750E+07,-0.3561158796E+02,0.1656834138E+07
CHEMBL1743593-conf_8,0.1954894477E+03,0.9780093506E+02,0.9768851260E+02,0.1857949738E+02,0.3673547681E+06,-0.3673733476E+06,-0.3673547681E+06,-0.1469344754E+07,0.9999990343E+00,0.9990182524E+00,-0.1278202692E+01,-0.1931576119E+03,-0.1931576119E+03,0.1395457195E+02,0.5126244258E-01,0.7302767469E-01,0.1419484593E+07,-0.3531612395E+02,0.1419449277E+07
CHEMBL1743593-conf_9,0.1955148800E+03,0.9781810400E+02,0.9769677596E+02,0.1853728392E+02,0.3674021672E+06,-0.3674207045E+06,-0.3674021672E+06,-0.1469534520E+07,0.9999990391E+00,0.9990206930E+00,-0.1278620802E+01,-0.1931572375E+03,-0.1931572375E+03,0.1395352146E+02,0.5103740206E-01,0.7271273117E-01,0.1386207460E+07,-0.3514210930E+02,0.1386172318E+07
CHEMBL1743594,0.1954732044E+03,0.9774121789E+02,0.9773198649E+02,0.1880660830E+02,0.3673487568E+06,-0.3673675634E+06,-0.3673487568E+06,-0.1469319801E+07,0.9999990102E+00,0.9990061260E+00,0.1644266974E+00,-0.1931637460E+03,-0.1931637460E+03,0.1397864315E+02,0.4809545528E-01,0.6905540836E-01,0.2651065567E+07,-0.5109028829E+02,0.2651014477E+07
CHEMBL1743594-conf_1,0.1954875296E+03,0.9774821902E+02,0.9773931054E+02,0.1883625891E+02,0.3673877487E+06,-0.3674065849E+06,-0.3673877487E+06,-0.1469475650E+07,0.9999990074E+00,0.9990046821E+00,0.1643788072E+00,-0.1931643076E+03,-0.1931643076E+03,0.1395148219E+02,0.4766186446E-01,0.6884666831E-01,0.2921960947E+07,-0.5311151958E+02,0.2921907835E+07
CHEMBL1743594-conf_10,0.1954732881E+03,0.9774089295E+02,0.9773239512E+02,0.1875394219E+02,0.3673488660E+06,-0.3673676199E+06,-0.3673488660E+06,-0.1469320448E+07,0.9999990158E+00,0.9990089072E+00,0.1644264177E+00,-0.1931632644E+03,-0.1931632644E+03,0.1398605546E+02,0.4910733975E-01,0.7019526453E-01,0.2471526844E+07,-0.5109308975E+02,0.2471475751E+07
CHEMBL1743594-conf_2,0.1954648941E+03,0.9774016029E+02,0.9772473377E+02,0.1877425970E+02,0.3673354613E+06,-0.3673542356E+06,-0.3673354613E+06,-0.1469266748E+07,0.9999990135E+00,0.9990077636E+00,0.1644544775E+00,-0.1931634866E+03,-0.1931634866E+03,0.1397559720E+02,0.4991625325E-01,0.7128645310E-01,0.2483040559E+07,-0.5241365215E+02,0.2482988146E+07
CHEMBL1743594-conf_3,0.1954793007E+03,0.9775009778E+02,0.9772920294E+02,0.1875368592E+02,0.3673604075E+06,-0.3673791611E+06,-0.3673604075E+06,-0.1469366615E+07,0.9999990159E+00,0.9990089715E+00,0.1644063174E+00,-0.1931633760E+03,-0.1931633760E+03,0.1397450524E+02,0.4941930508E-01,0.7067923972E-01,0.2457184985E+07,-0.5144959201E+02,0.2457133535E+07
CHEMBL1743594-conf_4,,,,,,,,,,,,,,,,,,,
CHEMBL1743594-conf_5,0.1954821941E+03,0.9774524029E+02,0.9773695378E+02,0.1882939847E+02,0.3673800517E+06,-0.3673988811E+06,-0.3673800517E+06,-0.1469444889E+07,0.9999990080E+00,0.9990049990E+00,0.1643966447E+00,-0.1931652404E+03,-0.1931652404E+03,0.1396170928E+02,0.4883664280E-01,0.7012198735E-01,0.3219823122E+07,-0.5491615190E+02,0.3219768206E+07
CHEMBL1743594-conf_6,0.1954856366E+03,0.9774655541E+02,0.9773908117E+02,0.1883830326E+02,0.3673795050E+06,-0.3673983433E+06,-0.3673795050E+06,-0.1469442667E+07,0.9999990071E+00,0.9990045581E+00,0.1643851358E+00,-0.1931644538E+03,-0.1931644538E+03,0.1395529820E+02,0.4713815067E-01,0.6823683095E-01,0.3005842936E+07,-0.5356563527E+02,0.3005789370E+07
CHEMBL1743594-conf_7,0.1954996790E+03,0.9785107813E+02,0.9764860086E+02,0.1867721100E+02,0.3673806765E+06,-0.3673993537E+06,-0.3673806765E+06,-0.1469447997E+07,0.9999990244E+00,0.9990131807E+00,0.1643381872E+00,-0.1931582878E+03,-0.1931582878E+03,0.1392658608E+02,0.5032372146E-01,0.7199957957E-01,0.1488930644E+07,-0.5107410566E+02,0.1488879570E+07
CHEMBL1743594-conf_8,0.1955002547E+03,0.9785215363E+02,0.9764810103E+02,0.1868050112E+02,0.3673815758E+06,-0.3674002563E+06,-0.3673815758E+06,-0.1469451581E+07,0.9999990240E+00,0.9990130119E+00,0.1643362624E+00,-0.1931584668E+03,-0.1931584668E+03,0.1392558983E+02,0.5029252720E-01,0.7196872953E-01,0.1508011457E+07,-0.5116475999E+02,0.1507960293E+07
CHEMBL1743594-conf_9,0.1954673266E+03,0.9774069048E+02,0.9772663611E+02,0.1877601786E+02,0.3673428786E+06,-0.3673616546E+06,-0.3673428786E+06,-0.1469296410E+07,0.9999990134E+00,0.9990076914E+00,0.1644463461E+00,-0.1931635890E+03,-0.1931635890E+03,0.1397563858E+02,0.4977989794E-01,0.7109380403E-01,0.2515792211E+07,-0.5290288805E+02,0.2515739308E+07
CHEMBL2068442,0.1955280243E+03,0.9781243696E+02,0.9771558730E+02,0.1867601000E+02,0.3674357112E+06,-0.3674543872E+06,-0.3674357112E+06,-0.1469668141E+07,0.9999990249E+00,0.9990134818E+00,-0.5365128759E+00,-0.1931618492E+03,-0.1931618492E+03,0.1376306735E+02,0.4904867086E-01,0.7031906556E-01,0.2028740443E+07,-0.3945731654E+02,0.2028700986E+07
CHEMBL2068442-conf_1,0.1955280388E+03,0.9781249017E+02,0.9771554861E+02,0.1867544546E+02,0.3674356930E+06,-0.3674543685E+06,-0.3674356930E+06,-0.1469668070E+07,0.9999990249E+00,0.9990135117E+00,-0.5365130232E+00,-0.1931618466E+03,-0.1931618466E+03,0.1376308761E+02,0.4903816935E-01,0.7030427085E-01,0.2029165040E+07,-0.3945654445E+02,0.2029125583E+07
CHEMBL2068442-conf_2,0.1955263048E+03,0.9781020465E+02,0.9771610017E+02,0.1867581514E+02,0.3674319106E+06,-0.3674505865E+06,-0.3674319106E+06,-0.1469652939E+07,0.9999990249E+00,0.9990134776E+00,-0.5364954214E+00,-0.1931618503E+03,-0.1931618503E+03,0.1376457878E+02,0.4917508983E-01,0.7047145507E-01,0.2027363439E+07,-0.3948975311E+02,0.2027323949E+07
CHEMBL2068442-conf_3,0.1955391731E+03,0.9781963037E+02,0.9771954273E+02,0.1864360261E+02,0.3674572266E+06,-0.3674758702E+06,-0.3674572266E+06,-0.1469754332E+07,0.9999990284E+00,0.9990152854E+00,-0.5366260538E+00,-0.1931616890E+03,-0.1931616890E+03,0.1376415154E+02,0.4948902121E-01,0.7082390726E-01,0.1986310141E+07,-0.3944277587E+02,0.1986270698E+07
CHEMBL611190,0.1954614448E+03,0.9774781310E+02,0.9771363168E+02,0.1867937815E+02,0.3673053645E+06,-0.3673240438E+06,-0.3673053645E+06,-0.1469146740E+07,0.9999990234E+00,0.9990127442E+00,-0.8573393571E+00,-0.1931600316E+03,-0.1931600316E+03,0.1383310798E+02,0.5065315064E-01,0.7249898716E-01,0.1654454570E+07,-0.3796022893E+02,0.1654416610E+07
CHEMBL611190-conf_1,0.1954671619E+03,0.9775231315E+02,0.9771484872E+02,0.1866378038E+02,0.3673190487E+06,-0.3673377125E+06,-0.3673190487E+06,-0.1469201540E+07,0.9999990251E+00,0.9990136159E+00,-0.8574132982E+00,-0.1931597358E+03,-0.1931597358E+03,0.1383580152E+02,0.5046885410E-01,0.7221774201E-01,0.1625621161E+07,-0.3783207353E+02,0.1625583329E+07
CHEMBL611190-conf_10,0.1954555666E+03,0.9774101943E+02,0.9771454715E+02,0.1868914188E+02,0.3672955444E+06,-0.3673142335E+06,-0.3672955444E+06,-0.1469107421E+07,0.9999990223E+00,0.9990121792E+00,-0.8572633336E+00,-0.1931599904E+03,-0.1931599904E+03,0.1384185112E+02,0.5048158976E-01,0.7225211039E-01,0.1642811408E+07,-0.3798785716E+02,0.1642773420E+07
CHEMBL611190-conf_2,0.1954592123E+03,0.9775026432E+02,0.9770894794E+02,0.1867932283E+02,0.3673037779E+06,-0.3673224572E+06,-0.3673037779E+06,-0.1469140394E+07,0.9999990234E+00,0.9990127284E+00,-0.8573104834E+00,-0.1931594860E+03,-0.1931594860E+03,0.1384032437E+02,0.5065161522E-01,0.7250691263E-01,0.1569204645E+07,-0.3793860224E+02,0.1569166706E+07
CHEMBL611190-conf_3,0.1954622945E+03,0.9774425371E+02,0.9771804077E+02,0.1868011873E+02,0.3673136432E+06,-0.3673323233E+06,-0.3673136432E+06,-0.1469179852E+07,0.9999990233E+00,0.9990127123E+00,-0.8573503465E+00,-0.1931597983E+03,-0.1931597983E+03,0.1383846158E+02,0.5032113820E-01,0.7196152851E-01,0.1631393392E+07,-0.3811386072E+02,0.1631355278E+07
CHEMBL611190-conf_4,0.1954682277E+03,0.9775578616E+02,0.9771244153E+02,0.1866194004E+02,0.3673248954E+06,-0.3673435573E+06,-0.3673248954E+06,-0.1469224934E+07,0.9999990253E+00,0.9990137220E+00,-0.8574270831E+00,-0.1931593004E+03,-0.1931593004E+03,0.1383503239E+02,0.5010615485E-01,0.7161501975E-01,0.1584298089E+07,-0.3802252193E+02,0.1584260067E+07
CHEMBL611190-conf_5,0.1954651650E+03,0.9774816069E+02,0.9771700426E+02,0.1867938190E+02,0.3673120254E+06,-0.3673307047E+06,-0.3673120254E+06,-0.1469173384E+07,0.9999990235E+00,0.9990127753E+00,-0.8573874713E+00,-0.1931599482E+03,-0.1931599482E+03,0.1383976561E+02,0.5072176012E-01,0.7257332698E-01,0.1619294771E+07,-0.3782366667E+02,0.1619256947E+07
CHEMBL611190-conf_6,0.1954654112E+03,0.9775277658E+02,0.9771263460E+02,0.1866654620E+02,0.3673136812E+06,-0.3673323477E+06,-0.3673136812E+06,-0.1469180059E+07,0.9999990248E+00,0.9990134551E+00,-0.8573906557E+00,-0.1931598047E+03,-0.1931598047E+03,0.1383207309E+02,0.5050535015E-01,0.7224430024E-01,0.1633312547E+07,-0.3794828566E+02,0.1633274599E+07
CHEMBL611190-conf_7,0.1954614447E+03,0.9774781318E+02,0.9771363153E+02,0.1867938005E+02,0.3673053647E+06,-0.3673240441E+06,-0.3673053647E+06,-0.1469146741E+07,0.9999990234E+00,0.9990127441E+00,-0.8573393561E+00,-0.1931600316E+03,-0.1931600316E+03,0.1383310808E+02,0.5065310296E-01,0.7249892086E-01,0.1654456988E+07,-0.3796024749E+02,0.1654419027E+07
CHEMBL611190-conf_8,0.1954607737E+03,0.9774640078E+02,0.9771437296E+02,0.1867584927E+02,0.3673064518E+06,-0.3673251276E+06,-0.3673064518E+06,-0.1469151104E+07,0.9999990238E+00,0.9990129249E+00,-0.8573306784E+00,-0.1931599382E+03,-0.1931599382E+03,0.1383565684E+02,0.5049504682E-01,0.7228448971E-01,0.1644408452E+07,-0.3795781622E+02,0.1644370495E+07
CHEMBL611190-conf_9,0.1954693076E+03,0.9775446853E+02,0.9771483905E+02,0.1866439937E+02,0.3673259515E+06,-0.3673446159E+06,-0.3673259515E+06,-0.1469229148E+07,0.9999990251E+00,0.9990136012E+00,-0.8574410499E+00,-0.1931595152E+03,-0.1931595152E+03,0.1383682928E+02,0.5032633598E-01,0.7191473923E-01,0.1594356875E+07,-0.3799172302E+02,0.1594318883E+07
carboplatin,0.1955590877E+03,0.9786747799E+02,0.9769160971E+02,0.1856592525E+02,0.3674705994E+06,-0.3674891653E+06,-0.3674705994E+06,-0.1469808134E+07,0.9999990368E+00,0.9990195507E+00,-0.9491966593E+00,-0.1931611801E+03,-0.1931611801E+03,0.1374025179E+02,0.5405478807E-01,0.7545181266E-01,0.1899762929E+07,-0.3457232475E+02,0.1899728357E+07
carboplatin-conf_1,0.1955590784E+03,0.9786745409E+02,0.9769162430E+02,0.1856583924E+02,0.3674705829E+06,-0.3674891488E+06,-0.3674705829E+06,-0.1469808068E+07,0.9999990368E+00,0.9990195552E+00,-0.9491965317E+00,-0.1931611782E+03,-0.1931611782E+03,0.1374025307E+02,0.5405597816E-01,0.7545339273E-01,0.1899445832E+07,-0.3457243244E+02,0.1899411259E+07
