Molecule,Density of all electrons_N-1_4(N),Density of Alpha electrons_N-1_4(N),Density of Beta electrons_N-1_4(N),Lagrangian kinetic energy G(r)_N-1_4(N),Hamiltonian kinetic energy K(r)_N-1_4(N),Potential energy density V(r)_N-1_4(N),Energy density E(r) or H(r)_N-1_4(N),Laplacian of electron density_N-1_4(N),Electron localization function (ELF)_N-1_4(N),Localized orbital locator (LOL)_N-1_4(N),Local information entropy_N-1_4(N),Sign(lambda2)*rho_N-1_4(N),Sign(lambda2)*rho with promolecular approximation_N-1_4(N),Average local ionization energy (ALIE)_N-1_4(N),Delta-g (under promolecular approximation)_N-1_4(N),Delta-g (under Hirshfeld partition)_N-1_4(N),ESP from nuclear charges_N-1_4(N),ESP from electrons_N-1_4(N),Total ESP_N-1_4(N)
CHEMBL1743583,0.1955026337E+03,0.9774914782E+02,0.9775348589E+02,0.1860300705E+02,0.3673855883E+06,-0.3674041913E+06,-0.3673855883E+06,-0.1469467941E+07,0.9999990320E+00,0.9990171216E+00,-0.8578721006E+00,-0.1931641559E+03,-0.1931641559E+03,0.1432648185E+02,0.4902651612E-01,0.6953771932E-01,0.3283739071E+07,-0.3859888355E+02,0.3283700472E+07
CHEMBL1743583-conf_1,0.1955017647E+03,0.9774735138E+02,0.9775441330E+02,0.1863238587E+02,0.3673837967E+06,-0.3674024291E+06,-0.3673837967E+06,-0.1469460657E+07,0.9999990290E+00,0.9990155636E+00,-0.8578608596E+00,-0.1931650550E+03,-0.1931650550E+03,0.1432248649E+02,0.4912599602E-01,0.6976181263E-01,0.3792501020E+07,-0.3868303612E+02,0.3792462337E+07
CHEMBL1743583-conf_2,0.1955108511E+03,0.9775226022E+02,0.9775859085E+02,0.1861123793E+02,0.3674015945E+06,-0.3674202057E+06,-0.3674015945E+06,-0.1469531933E+07,0.9999990313E+00,0.9990167559E+00,-0.8579783939E+00,-0.1931647620E+03,-0.1931647620E+03,0.1432218176E+02,0.4901369414E-01,0.6960254585E-01,0.3605865509E+07,-0.3870272622E+02,0.3605826806E+07
CHEMBL1743593,0.1954584667E+03,0.9773022550E+02,0.9772824118E+02,0.1866520721E+02,0.3673016926E+06,-0.3673203578E+06,-0.3673016926E+06,-0.1469132109E+07,0.9999990248E+00,0.9990134674E+00,-0.1342993269E+01,-0.1931647421E+03,-0.1931647421E+03,0.1433326430E+02,0.4907580260E-01,0.6956564802E-01,0.3468279878E+07,-0.3567680829E+02,0.3468244202E+07
CHEMBL1743593-conf_1,0.1955020566E+03,0.9778090941E+02,0.9772114720E+02,0.1857840301E+02,0.3673714186E+06,-0.3673899970E+06,-0.3673714186E+06,-0.1469411361E+07,0.9999990346E+00,0.9990184155E+00,-0.1343733126E+01,-0.1931654321E+03,-0.1931654321E+03,0.1434650470E+02,0.4764241611E-01,0.6767989907E-01,0.4259114116E+07,-0.3553432445E+02,0.4259078582E+07
CHEMBL1743593-conf_10,0.1955118192E+03,0.9778211980E+02,0.9772969940E+02,0.1858114292E+02,0.3673947825E+06,-0.3674133636E+06,-0.3673947825E+06,-0.1469504805E+07,0.9999990345E+00,0.9990183524E+00,-0.1343898842E+01,-0.1931651376E+03,-0.1931651376E+03,0.1434862199E+02,0.4794247067E-01,0.6798821729E-01,0.4051424902E+07,-0.3580800669E+02,0.4051389094E+07
CHEMBL1743593-conf_2,0.1954669193E+03,0.9773186118E+02,0.9773505808E+02,0.1863523267E+02,0.3673145622E+06,-0.3673331975E+06,-0.3673145622E+06,-0.1469183708E+07,0.9999990281E+00,0.9990151211E+00,-0.1343136728E+01,-0.1931644059E+03,-0.1931644059E+03,0.1432857491E+02,0.4904996147E-01,0.6948023662E-01,0.3403042289E+07,-0.3559613402E+02,0.3403006693E+07
CHEMBL1743593-conf_3,0.1954666836E+03,0.9773325760E+02,0.9773342604E+02,0.1863866701E+02,0.3673136069E+06,-0.3673322455E+06,-0.3673136069E+06,-0.1469179873E+07,0.9999990277E+00,0.9990149378E+00,-0.1343132729E+01,-0.1931646010E+03,-0.1931646010E+03,0.1433338937E+02,0.4900899223E-01,0.6944141918E-01,0.3507648325E+07,-0.3562244439E+02,0.3507612703E+07
CHEMBL1743593-conf_4,0.1954752137E+03,0.9773473367E+02,0.9774048007E+02,0.1861738476E+02,0.3673331237E+06,-0.3673517411E+06,-0.3673331237E+06,-0.1469258025E+07,0.9999990301E+00,0.9990161329E+00,-0.1343277507E+01,-0.1931639909E+03,-0.1931639909E+03,0.1432426030E+02,0.4893394184E-01,0.6926029193E-01,0.3266893586E+07,-0.3565399291E+02,0.3266857932E+07
CHEMBL1743593-conf_5,0.1954669063E+03,0.9773185479E+02,0.9773505151E+02,0.1863528915E+02,0.3673145414E+06,-0.3673331767E+06,-0.3673145414E+06,-0.1469183625E+07,0.9999990281E+00,0.9990151180E+00,-0.1343136508E+01,-0.1931644063E+03,-0.1931644063E+03,0.1432857813E+02,0.4905073887E-01,0.6948127948E-01,0.3403049327E+07,-0.3559633853E+02,0.3403013731E+07
CHEMBL1743593-conf_6,0.1954623407E+03,0.9772942755E+02,0.9773291317E+02,0.1862006458E+02,0.3673069695E+06,-0.3673255896E+06,-0.3673069695E+06,-0.1469153398E+07,0.9999990296E+00,0.9990158835E+00,-0.1343059019E+01,-0.1931640999E+03,-0.1931640999E+03,0.1432642795E+02,0.4900999967E-01,0.6943867719E-01,0.3266973096E+07,-0.3563087953E+02,0.3266937466E+07
CHEMBL1743593-conf_7,0.1954645155E+03,0.9773108913E+02,0.9773342636E+02,0.1862355168E+02,0.3673089598E+06,-0.3673275833E+06,-0.3673089598E+06,-0.1469161345E+07,0.9999990293E+00,0.9990157177E+00,-0.1343095930E+01,-0.1931637854E+03,-0.1931637854E+03,0.1432349944E+02,0.4944150694E-01,0.6998266095E-01,0.3108626925E+07,-0.3557435602E+02,0.3108591351E+07
CHEMBL1743593-conf_8,0.1955078734E+03,0.9778618473E+02,0.9772168866E+02,0.1856252030E+02,0.3673840021E+06,-0.3674025646E+06,-0.3673840021E+06,-0.1469461758E+07,0.9999990364E+00,0.9990193024E+00,-0.1343831863E+01,-0.1931646680E+03,-0.1931646680E+03,0.1435185667E+02,0.4752728426E-01,0.6769274699E-01,0.3626248120E+07,-0.3588726381E+02,0.3626212233E+07
CHEMBL1743593-conf_9,0.1954734741E+03,0.9773573560E+02,0.9773773852E+02,0.1860530199E+02,0.3673307343E+06,-0.3673493396E+06,-0.3673307343E+06,-0.1469248516E+07,0.9999990313E+00,0.9990167563E+00,-0.1343247981E+01,-0.1931638617E+03,-0.1931638617E+03,0.1432192123E+02,0.4899823846E-01,0.6938158106E-01,0.3208711340E+07,-0.3546420996E+02,0.3208675876E+07
CHEMBL1743594,0.1954837102E+03,0.9774182375E+02,0.9774188642E+02,0.1871197230E+02,0.3673589434E+06,-0.3673776554E+06,-0.3673589434E+06,-0.1469360926E+07,0.9999990204E+00,0.9990112108E+00,0.1588474969E+00,-0.1931643054E+03,-0.1931643054E+03,0.1422064722E+02,0.4999946120E-01,0.7101371706E-01,0.2963086062E+07,-0.4996660129E+02,0.2963036096E+07
CHEMBL1743594-conf_1,0.1955082094E+03,0.9775419365E+02,0.9775401574E+02,0.1877279298E+02,0.3674210850E+06,-0.3674398578E+06,-0.3674210850E+06,-0.1469609249E+07,0.9999990144E+00,0.9990082070E+00,0.1587640260E+00,-0.1931668751E+03,-0.1931668751E+03,0.1421610648E+02,0.4890957914E-01,0.6997161938E-01,0.5234751286E+07,-0.5305707457E+02,0.5234698229E+07
CHEMBL1743594-conf_10,0.1954977943E+03,0.9774888843E+02,0.9774890585E+02,0.1865736276E+02,0.3673875603E+06,-0.3674062176E+06,-0.3673875603E+06,-0.1469475612E+07,0.9999990263E+00,0.9990142119E+00,0.1587995128E+00,-0.1931633866E+03,-0.1931633866E+03,0.1424103984E+02,0.5024865468E-01,0.7128474920E-01,0.2649967290E+07,-0.5077052733E+02,0.2649916520E+07
CHEMBL1743594-conf_2,0.1955082313E+03,0.9775406757E+02,0.9775416378E+02,0.1873228806E+02,0.3674200342E+06,-0.3674387665E+06,-0.3674200342E+06,-0.1469605208E+07,0.9999990186E+00,0.9990103450E+00,0.1587639512E+00,-0.1931653142E+03,-0.1931653142E+03,0.1422119029E+02,0.4723771097E-01,0.6788293740E-01,0.3888822633E+07,-0.5269667063E+02,0.3888769936E+07
CHEMBL1743594-conf_3,0.1954863435E+03,0.9774356441E+02,0.9774277909E+02,0.1868408684E+02,0.3673692765E+06,-0.3673879606E+06,-0.3673692765E+06,-0.1469402370E+07,0.9999990233E+00,0.9990127050E+00,0.1588385256E+00,-0.1931643300E+03,-0.1931643300E+03,0.1423493137E+02,0.4980174095E-01,0.7072267676E-01,0.3137214041E+07,-0.5157439854E+02,0.3137162466E+07
CHEMBL1743594-conf_4,0.1955064481E+03,0.9775317963E+02,0.9775326844E+02,0.1877925795E+02,0.3674192339E+06,-0.3674380131E+06,-0.3674192339E+06,-0.1469601819E+07,0.9999990137E+00,0.9990078509E+00,0.1587700274E+00,-0.1931665796E+03,-0.1931665796E+03,0.1419646723E+02,0.4899094318E-01,0.7008145121E-01,0.4797945015E+07,-0.5253543665E+02,0.4797892479E+07
CHEMBL1743594-conf_5,0.1955118294E+03,0.9775544798E+02,0.9775638138E+02,0.1874334712E+02,0.3674302025E+06,-0.3674489459E+06,-0.3674302025E+06,-0.1469645837E+07,0.9999990175E+00,0.9990097917E+00,0.1587516913E+00,-0.1931665157E+03,-0.1931665157E+03,0.1422218677E+02,0.4961897065E-01,0.7067984989E-01,0.4708289244E+07,-0.5448120826E+02,0.4708234762E+07
CHEMBL1743594-conf_6,0.1955053273E+03,0.9775329380E+02,0.9775203353E+02,0.1875781969E+02,0.3674106766E+06,-0.3674294345E+06,-0.3674106766E+06,-0.1469567675E+07,0.9999990159E+00,0.9990089730E+00,0.1587738461E+00,-0.1931661039E+03,-0.1931661039E+03,0.1421952849E+02,0.4940094958E-01,0.7050855023E-01,0.4176313562E+07,-0.5272160424E+02,0.4176260840E+07
CHEMBL1743594-conf_7,0.1954932213E+03,0.9774632260E+02,0.9774689873E+02,0.1869323553E+02,0.3673821317E+06,-0.3674008249E+06,-0.3673821317E+06,-0.1469453754E+07,0.9999990225E+00,0.9990122799E+00,0.1588150931E+00,-0.1931647976E+03,-0.1931647976E+03,0.1423809730E+02,0.4950874122E-01,0.7033662137E-01,0.3349591820E+07,-0.5243292180E+02,0.3349539387E+07
CHEMBL1743594-conf_8,0.1954940035E+03,0.9774689501E+02,0.9774710854E+02,0.1869930392E+02,0.3673806343E+06,-0.3673993336E+06,-0.3673806343E+06,-0.1469447740E+07,0.9999990219E+00,0.9990119662E+00,0.1588124281E+00,-0.1931649272E+03,-0.1931649272E+03,0.1423451962E+02,0.4963438375E-01,0.7055989654E-01,0.3365933602E+07,-0.5219185903E+02,0.3365881410E+07
CHEMBL1743594-conf_9,0.1955129877E+03,0.9775763514E+02,0.9775535260E+02,0.1872723849E+02,0.3674297869E+06,-0.3674485142E+06,-0.3674297869E+06,-0.1469644239E+07,0.9999990193E+00,0.9990106516E+00,0.1587477442E+00,-0.1931659756E+03,-0.1931659756E+03,0.1421856671E+02,0.4890021305E-01,0.6971908488E-01,0.4359753485E+07,-0.5314077415E+02,0.4359700344E+07
CHEMBL2068442,0.1954465263E+03,0.9772225655E+02,0.9772426977E+02,0.1873866202E+02,0.3672847186E+06,-0.3673034573E+06,-0.3672847186E+06,-0.1469063920E+07,0.9999990169E+00,0.9990094881E+00,-0.5656746961E+00,-0.1931628583E+03,-0.1931628583E+03,0.1403109298E+02,0.5010176484E-01,0.7133738066E-01,0.2272246245E+07,-0.3911934226E+02,0.2272207126E+07
CHEMBL2068442-conf_1,0.1954465263E+03,0.9772225653E+02,0.9772426978E+02,0.1873866191E+02,0.3672847186E+06,-0.3673034573E+06,-0.3672847186E+06,-0.1469063920E+07,0.9999990169E+00,0.9990094882E+00,-0.5656746961E+00,-0.1931628583E+03,-0.1931628583E+03,0.1403109298E+02,0.5010176108E-01,0.7133737467E-01,0.2272246507E+07,-0.3911934064E+02,0.2272207388E+07
CHEMBL2068442-conf_2,0.1954452503E+03,0.9772159045E+02,0.9772365989E+02,0.1874282078E+02,0.3672820107E+06,-0.3673007535E+06,-0.3672820107E+06,-0.1469053072E+07,0.9999990165E+00,0.9990092578E+00,-0.5656614093E+00,-0.1931628881E+03,-0.1931628881E+03,0.1403181133E+02,0.5017395246E-01,0.7145375038E-01,0.2273665443E+07,-0.3913723904E+02,0.2273626306E+07
CHEMBL2068442-conf_3,0.1954404627E+03,0.9771922286E+02,0.9772123982E+02,0.1874329755E+02,0.3672743686E+06,-0.3672931119E+06,-0.3672743686E+06,-0.1469022501E+07,0.9999990164E+00,0.9990091922E+00,-0.5656115557E+00,-0.1931626996E+03,-0.1931626996E+03,0.1403305465E+02,0.5000361789E-01,0.7122869730E-01,0.2220148423E+07,-0.3911684741E+02,0.2220109306E+07
CHEMBL611190,0.1954731966E+03,0.9773515758E+02,0.9773803900E+02,0.1866390841E+02,0.3673256230E+06,-0.3673442870E+06,-0.3673256230E+06,-0.1469227837E+07,0.9999990252E+00,0.9990136598E+00,-0.9017112943E+00,-0.1931637451E+03,-0.1931637451E+03,0.1416648615E+02,0.4985827064E-01,0.7066360082E-01,0.2849458848E+07,-0.3834856643E+02,0.2849420499E+07
CHEMBL611190-conf_1,0.1954746895E+03,0.9773606476E+02,0.9773862477E+02,0.1865872762E+02,0.3673319302E+06,-0.3673505889E+06,-0.3673319302E+06,-0.1469253086E+07,0.9999990258E+00,0.9990139458E+00,-0.9017311636E+00,-0.1931635815E+03,-0.1931635815E+03,0.1417097093E+02,0.4980881482E-01,0.7062790427E-01,0.2792334430E+07,-0.3813205542E+02,0.2792296298E+07
CHEMBL611190-conf_10,0.1954596933E+03,0.9772845022E+02,0.9773124311E+02,0.1867423726E+02,0.3673037526E+06,-0.3673224268E+06,-0.3673037526E+06,-0.1469140313E+07,0.9999990239E+00,0.9990130009E+00,-0.9015315888E+00,-0.1931638918E+03,-0.1931638918E+03,0.1417153047E+02,0.5011593751E-01,0.7117103438E-01,0.2852552211E+07,-0.3823080152E+02,0.2852513980E+07
CHEMBL611190-conf_2,0.1954618379E+03,0.9772961330E+02,0.9773222458E+02,0.1867585721E+02,0.3673111020E+06,-0.3673297779E+06,-0.3673111020E+06,-0.1469169705E+07,0.9999990238E+00,0.9990129334E+00,-0.9015601286E+00,-0.1931638498E+03,-0.1931638498E+03,0.1417316040E+02,0.5002011226E-01,0.7104132577E-01,0.2853015752E+07,-0.3815638248E+02,0.2852977596E+07
CHEMBL611190-conf_3,0.1954804440E+03,0.9773967859E+02,0.9774076544E+02,0.1868192465E+02,0.3673491586E+06,-0.3673678405E+06,-0.3673491586E+06,-0.1469321907E+07,0.9999990234E+00,0.9990127696E+00,-0.9018077490E+00,-0.1931637915E+03,-0.1931637915E+03,0.1416730974E+02,0.4981131926E-01,0.7064824349E-01,0.2825052364E+07,-0.3837106721E+02,0.2825013993E+07
CHEMBL611190-conf_4,0.1954801551E+03,0.9773915931E+02,0.9774099580E+02,0.1868007792E+02,0.3673483236E+06,-0.3673670037E+06,-0.3673483236E+06,-0.1469318574E+07,0.9999990236E+00,0.9990128646E+00,-0.9018039038E+00,-0.1931638303E+03,-0.1931638303E+03,0.1416714920E+02,0.4986540702E-01,0.7071935565E-01,0.2835994817E+07,-0.3832865064E+02,0.2835956489E+07
CHEMBL611190-conf_5,0.1954728543E+03,0.9773547676E+02,0.9773737758E+02,0.1865616093E+02,0.3673265358E+06,-0.3673451920E+06,-0.3673265358E+06,-0.1469231519E+07,0.9999990260E+00,0.9990140659E+00,-0.9017067395E+00,-0.1931638120E+03,-0.1931638120E+03,0.1417076303E+02,0.5019789823E-01,0.7123910864E-01,0.2849953396E+07,-0.3803780492E+02,0.2849915358E+07
CHEMBL611190-conf_6,0.1954765496E+03,0.9773689601E+02,0.9773965355E+02,0.1865557255E+02,0.3673327186E+06,-0.3673513741E+06,-0.3673327186E+06,-0.1469256252E+07,0.9999990261E+00,0.9990141280E+00,-0.9017559181E+00,-0.1931637032E+03,-0.1931637032E+03,0.1416690346E+02,0.4994817829E-01,0.7079011062E-01,0.2846347631E+07,-0.3828999764E+02,0.2846309341E+07
CHEMBL611190-conf_7,0.1954737059E+03,0.9773575299E+02,0.9773795289E+02,0.1867169122E+02,0.3673269935E+06,-0.3673456652E+06,-0.3673269935E+06,-0.1469233287E+07,0.9999990244E+00,0.9990132532E+00,-0.9017180724E+00,-0.1931639360E+03,-0.1931639360E+03,0.1416696490E+02,0.4988523555E-01,0.7071403895E-01,0.2923834384E+07,-0.3832705112E+02,0.2923796057E+07
CHEMBL611190-conf_8,0.1954706149E+03,0.9773374385E+02,0.9773687110E+02,0.1865464396E+02,0.3673208263E+06,-0.3673394810E+06,-0.3673208263E+06,-0.1469208687E+07,0.9999990261E+00,0.9990141272E+00,-0.9016769365E+00,-0.1931640948E+03,-0.1931640948E+03,0.1416672974E+02,0.5042417612E-01,0.7158736838E-01,0.2926645245E+07,-0.3822411787E+02,0.2926607021E+07
CHEMBL611190-conf_9,0.1954756032E+03,0.9773681182E+02,0.9773879140E+02,0.1867073856E+02,0.3673376215E+06,-0.3673562922E+06,-0.3673376215E+06,-0.1469275803E+07,0.9999990245E+00,0.9990133194E+00,-0.9017433236E+00,-0.1931634949E+03,-0.1931634949E+03,0.1417137705E+02,0.4962903065E-01,0.7033020580E-01,0.2750656186E+07,-0.3820818570E+02,0.2750617978E+07
carboplatin,,,,,,,,,,,,,,,,,,,
carboplatin-conf_1,0.1953794561E+03,0.9768762389E+02,0.9769183224E+02,0.1874526891E+02,0.3671400584E+06,-0.3671588036E+06,-0.3671400584E+06,-0.1468485252E+07,0.9999990151E+00,0.9990085728E+00,-0.9952266816E+00,-0.1931618262E+03,-0.1931618262E+03,0.1403945658E+02,0.5397554314E-01,0.7527038321E-01,0.2043532052E+07,-0.3428157573E+02,0.2043497771E+07
