Molecule,Density of all electrons_N_4(N),Density of Alpha electrons_N_4(N),Density of Beta electrons_N_4(N),Lagrangian kinetic energy G(r)_N_4(N),Hamiltonian kinetic energy K(r)_N_4(N),Potential energy density V(r)_N_4(N),Energy density E(r) or H(r)_N_4(N),Laplacian of electron density_N_4(N),Electron localization function (ELF)_N_4(N),Localized orbital locator (LOL)_N_4(N),Local information entropy_N_4(N),Sign(lambda2)*rho_N_4(N),Sign(lambda2)*rho with promolecular approximation_N_4(N),Average local ionization energy (ALIE)_N_4(N),Delta-g (under promolecular approximation)_N_4(N),Delta-g (under Hirshfeld partition)_N_4(N),ESP from nuclear charges_N_4(N),ESP from electrons_N_4(N),Total ESP_N_4(N)
cisplatin,0.1954405360E+03,0.9772026801E+02,0.9772026801E+02,0.1864371636E+02,0.3672569762E+06,-0.3672756200E+06,-0.3672569762E+06,-0.1468953330E+07,0.9999990268E+00,0.9990144517E+00,-0.2710624649E+01,-0.1931598560E+03,-0.1931598560E+03,0.1388919401E+02,0.5376448907E-01,0.7505276425E-01,0.1664418695E+07,-0.3095575048E+02,0.1664387740E+07
cisplatin-conf_1,0.1954401334E+03,0.9772006670E+02,0.9772006670E+02,0.1864459658E+02,0.3672562933E+06,-0.3672749379E+06,-0.3672562933E+06,-0.1468950595E+07,0.9999990267E+00,0.9990144018E+00,-0.2710613473E+01,-0.1931598734E+03,-0.1931598734E+03,0.1388923235E+02,0.5375799763E-01,0.7504562790E-01,0.1666849396E+07,-0.3095417753E+02,0.1666818441E+07
cisplatin-conf_2,0.1954405398E+03,0.9772026991E+02,0.9772026991E+02,0.1864347419E+02,0.3672569835E+06,-0.3672756270E+06,-0.3672569835E+06,-0.1468953360E+07,0.9999990268E+00,0.9990144645E+00,-0.2710624754E+01,-0.1931598565E+03,-0.1931598565E+03,0.1388912186E+02,0.5375918806E-01,0.7504569266E-01,0.1664961676E+07,-0.3095513240E+02,0.1664930721E+07
imifoplatin,0.1954935391E+03,0.9774676953E+02,0.9774676953E+02,0.1876535435E+02,0.3674004589E+06,-0.3674192243E+06,-0.3674004589E+06,-0.1469526774E+07,0.9999990149E+00,0.9990084758E+00,-0.1606829171E+00,-0.1931622916E+03,-0.1931622916E+03,0.1390479771E+02,0.4937081284E-01,0.7054694012E-01,0.2062749772E+07,-0.4481519673E+02,0.2062704957E+07
imifoplatin-conf_1,0.1954911541E+03,0.9774557706E+02,0.9774557706E+02,0.1876057010E+02,0.3673932858E+06,-0.3674120463E+06,-0.3673932858E+06,-0.1469498101E+07,0.9999990154E+00,0.9990087082E+00,-0.1606669279E+00,-0.1931620639E+03,-0.1931620639E+03,0.1391017781E+02,0.4951828014E-01,0.7069832240E-01,0.2010329264E+07,-0.4415464279E+02,0.2010285110E+07
imifoplatin-conf_2,0.1954911938E+03,0.9774559688E+02,0.9774559688E+02,0.1876047920E+02,0.3673933541E+06,-0.3674121146E+06,-0.3673933541E+06,-0.1469498374E+07,0.9999990154E+00,0.9990087133E+00,-0.1606671936E+00,-0.1931620621E+03,-0.1931620621E+03,0.1391017179E+02,0.4951872003E-01,0.7069875045E-01,0.2009972594E+07,-0.4415467788E+02,0.2009928439E+07
imifoplatin-conf_3,0.1954939391E+03,0.9774696955E+02,0.9774696955E+02,0.1875462541E+02,0.3673982991E+06,-0.3674170537E+06,-0.3673982991E+06,-0.1469518178E+07,0.9999990161E+00,0.9990090455E+00,-0.1606855991E+00,-0.1931617903E+03,-0.1931617903E+03,0.1390367804E+02,0.4955529317E-01,0.7077483798E-01,0.1951944458E+07,-0.4414254939E+02,0.1951900315E+07
iproplatin,0.1955553679E+03,0.9777768394E+02,0.9777768394E+02,0.1871028669E+02,0.3675020949E+06,-0.3675208052E+06,-0.3675020949E+06,-0.1469933538E+07,0.9999990217E+00,0.9990119029E+00,-0.4939755033E+00,-0.1931634635E+03,-0.1931634635E+03,0.1387877887E+02,0.4982713602E-01,0.7138727949E-01,0.2457014067E+07,-0.4233024987E+02,0.2456971736E+07
iproplatin-conf_1,0.1955578543E+03,0.9777892715E+02,0.9777892715E+02,0.1870731325E+02,0.3675057106E+06,-0.3675244179E+06,-0.3675057106E+06,-0.1469948013E+07,0.9999990221E+00,0.9990120807E+00,-0.4939998016E+00,-0.1931635913E+03,-0.1931635913E+03,0.1387804029E+02,0.4967687913E-01,0.7103888278E-01,0.2523918521E+07,-0.4276006361E+02,0.2523875761E+07
iproplatin-conf_10,0.1955609885E+03,0.9778049423E+02,0.9778049423E+02,0.1869264320E+02,0.3675145976E+06,-0.3675332902E+06,-0.3675145976E+06,-0.1469983620E+07,0.9999990237E+00,0.9990128810E+00,-0.4940304304E+00,-0.1931633100E+03,-0.1931633100E+03,0.1387893416E+02,0.5042459569E-01,0.7192456478E-01,0.2387205382E+07,-0.4273679925E+02,0.2387162645E+07
iproplatin-conf_2,0.1955559451E+03,0.9777797256E+02,0.9777797256E+02,0.1871363700E+02,0.3675011076E+06,-0.3675198212E+06,-0.3675011076E+06,-0.1469929576E+07,0.9999990214E+00,0.9990117310E+00,-0.4939811444E+00,-0.1931635719E+03,-0.1931635719E+03,0.1387585042E+02,0.4955074014E-01,0.7095102853E-01,0.2511913303E+07,-0.4250502016E+02,0.2511870798E+07
iproplatin-conf_3,0.1955595654E+03,0.9777978270E+02,0.9777978270E+02,0.1868780708E+02,0.3675096082E+06,-0.3675282960E+06,-0.3675096082E+06,-0.1469963682E+07,0.9999990242E+00,0.9990131242E+00,-0.4940165233E+00,-0.1931633445E+03,-0.1931633445E+03,0.1388056678E+02,0.5028432686E-01,0.7173039813E-01,0.2403982680E+07,-0.4275897083E+02,0.2403939921E+07
iproplatin-conf_4,0.1955581724E+03,0.9777908618E+02,0.9777908618E+02,0.1870647205E+02,0.3675070402E+06,-0.3675257467E+06,-0.3675070402E+06,-0.1469953335E+07,0.9999990222E+00,0.9990121278E+00,-0.4940029099E+00,-0.1931635810E+03,-0.1931635810E+03,0.1387742174E+02,0.4999053459E-01,0.7146043696E-01,0.2507743243E+07,-0.4288237308E+02,0.2507700361E+07
iproplatin-conf_5,0.1955579789E+03,0.9777898944E+02,0.9777898944E+02,0.1870679633E+02,0.3675038088E+06,-0.3675225156E+06,-0.3675038088E+06,-0.1469940408E+07,0.9999990221E+00,0.9990121090E+00,-0.4940010190E+00,-0.1931635521E+03,-0.1931635521E+03,0.1387514443E+02,0.4962403732E-01,0.7100456986E-01,0.2508388173E+07,-0.4245460276E+02,0.2508345718E+07
iproplatin-conf_6,0.1955599468E+03,0.9777997339E+02,0.9777997339E+02,0.1866258088E+02,0.3675076181E+06,-0.3675262807E+06,-0.3675076181E+06,-0.1469955822E+07,0.9999990268E+00,0.9990144582E+00,-0.4940202505E+00,-0.1931626616E+03,-0.1931626616E+03,0.1388022329E+02,0.5019049358E-01,0.7158321880E-01,0.2270759325E+07,-0.4221362617E+02,0.2270717112E+07
iproplatin-conf_7,0.1955597319E+03,0.9777986595E+02,0.9777986595E+02,0.1869295522E+02,0.3675118310E+06,-0.3675305239E+06,-0.3675118310E+06,-0.1469972552E+07,0.9999990236E+00,0.9990128540E+00,-0.4940181505E+00,-0.1931633841E+03,-0.1931633841E+03,0.1387945151E+02,0.5049753519E-01,0.7201407069E-01,0.2405789092E+07,-0.4286105537E+02,0.2405746230E+07
iproplatin-conf_8,0.1955642162E+03,0.9778210808E+02,0.9778210808E+02,0.1864727007E+02,0.3675142301E+06,-0.3675328774E+06,-0.3675142301E+06,-0.1469982332E+07,0.9999990285E+00,0.9990153018E+00,-0.4940619736E+00,-0.1931627261E+03,-0.1931627261E+03,0.1387600910E+02,0.4986302961E-01,0.7109794286E-01,0.2307554517E+07,-0.4266309846E+02,0.2307511854E+07
iproplatin-conf_9,0.1955613739E+03,0.9778068696E+02,0.9778068696E+02,0.1869611712E+02,0.3675089654E+06,-0.3675276615E+06,-0.3675089654E+06,-0.1469961077E+07,0.9999990233E+00,0.9990127010E+00,-0.4940341973E+00,-0.1931635375E+03,-0.1931635375E+03,0.1387332619E+02,0.4989057522E-01,0.7138932625E-01,0.2503750065E+07,-0.4255261015E+02,0.2503707512E+07
lobaplatin,0.1954633488E+03,0.9773167440E+02,0.9773167440E+02,0.1868951037E+02,0.3673187633E+06,-0.3673374529E+06,-0.3673187633E+06,-0.1469200295E+07,0.9999990224E+00,0.9990122253E+00,-0.6464684916E+00,-0.1931602793E+03,-0.1931602793E+03,0.1387521753E+02,0.5061079560E-01,0.7222956515E-01,0.1700456674E+07,-0.3913386725E+02,0.1700417540E+07
lobaplatin-conf_1,0.1954636149E+03,0.9773180747E+02,0.9773180747E+02,0.1869436201E+02,0.3673155859E+06,-0.3673342803E+06,-0.3673155859E+06,-0.1469187566E+07,0.9999990219E+00,0.9990119713E+00,-0.6464714510E+00,-0.1931604142E+03,-0.1931604142E+03,0.1387251448E+02,0.5103515246E-01,0.7292066500E-01,0.1707535072E+07,-0.3909145764E+02,0.1707495981E+07
lobaplatin-conf_2,0.1954630148E+03,0.9773150742E+02,0.9773150742E+02,0.1869301027E+02,0.3673151830E+06,-0.3673338761E+06,-0.3673151830E+06,-0.1469185960E+07,0.9999990220E+00,0.9990120377E+00,-0.6464647780E+00,-0.1931604769E+03,-0.1931604769E+03,0.1387096198E+02,0.5062654430E-01,0.7229992041E-01,0.1728040723E+07,-0.3922311132E+02,0.1728001500E+07
lobaplatin-conf_3,0.1954630431E+03,0.9773152155E+02,0.9773152155E+02,0.1869294895E+02,0.3673152343E+06,-0.3673339273E+06,-0.3673152343E+06,-0.1469186165E+07,0.9999990220E+00,0.9990120411E+00,-0.6464650923E+00,-0.1931604759E+03,-0.1931604759E+03,0.1387096567E+02,0.5062649413E-01,0.7229965195E-01,0.1727923012E+07,-0.3922304306E+02,0.1727883789E+07
lobaplatin-conf_4,0.1954633797E+03,0.9773168987E+02,0.9773168987E+02,0.1868942177E+02,0.3673188183E+06,-0.3673375077E+06,-0.3673188183E+06,-0.1469200515E+07,0.9999990224E+00,0.9990122302E+00,-0.6464688356E+00,-0.1931602780E+03,-0.1931602780E+03,0.1387521742E+02,0.5061026166E-01,0.7222854591E-01,0.1700337122E+07,-0.3913385999E+02,0.1700297988E+07
lobaplatin-conf_5,0.1954641888E+03,0.9773209442E+02,0.9773209442E+02,0.1868379956E+02,0.3673205682E+06,-0.3673392520E+06,-0.3673205682E+06,-0.1469207538E+07,0.9999990230E+00,0.9990125339E+00,-0.6464778328E+00,-0.1931601716E+03,-0.1931601716E+03,0.1387466109E+02,0.5040849812E-01,0.7196093834E-01,0.1693387552E+07,-0.3937637089E+02,0.1693348175E+07
lobaplatin-conf_6,0.1954644990E+03,0.9773224948E+02,0.9773224948E+02,0.1868056860E+02,0.3673165028E+06,-0.3673351834E+06,-0.3673165028E+06,-0.1469191289E+07,0.9999990233E+00,0.9990127071E+00,-0.6464812812E+00,-0.1931600568E+03,-0.1931600568E+03,0.1387564911E+02,0.5067002650E-01,0.7238984656E-01,0.1654290208E+07,-0.3944047547E+02,0.1654250767E+07
lobaplatin-conf_7,0.1954634204E+03,0.9773171020E+02,0.9773171020E+02,0.1868929463E+02,0.3673188916E+06,-0.3673375809E+06,-0.3673188916E+06,-0.1469200809E+07,0.9999990224E+00,0.9990122373E+00,-0.6464692879E+00,-0.1931602762E+03,-0.1931602762E+03,0.1387521501E+02,0.5060899037E-01,0.7222655705E-01,0.1700209956E+07,-0.3913378032E+02,0.1700170822E+07
nedaplatin,0.1954089808E+03,0.9770449039E+02,0.9770449039E+02,0.1865303654E+02,0.3671936079E+06,-0.3672122609E+06,-0.3671936079E+06,-0.1468699819E+07,0.9999990253E+00,0.9990136943E+00,-0.2428114352E+01,-0.1931590365E+03,-0.1931590365E+03,0.1388362200E+02,0.5436591861E-01,0.7579454268E-01,0.1545801028E+07,-0.3085107931E+02,0.1545770177E+07
nedaplatin-conf_1,0.1954092401E+03,0.9770462003E+02,0.9770462003E+02,0.1865210714E+02,0.3671939988E+06,-0.3672126509E+06,-0.3671939988E+06,-0.1468701387E+07,0.9999990254E+00,0.9990137456E+00,-0.2428120985E+01,-0.1931590230E+03,-0.1931590230E+03,0.1388365294E+02,0.5436105588E-01,0.7578622419E-01,0.1544572929E+07,-0.3085177109E+02,0.1544542077E+07
oxaliplatin,0.1954897359E+03,0.9774486793E+02,0.9774486793E+02,0.1873010528E+02,0.3673902588E+06,-0.3674089889E+06,-0.3673902588E+06,-0.1469486115E+07,0.9999990186E+00,0.9990103043E+00,-0.6814616562E+00,-0.1931607153E+03,-0.1931607153E+03,0.1389782080E+02,0.4981233871E-01,0.7108536800E-01,0.1768996944E+07,-0.3935078698E+02,0.1768957593E+07
oxaliplatin-conf_1,0.1954898639E+03,0.9774493193E+02,0.9774493193E+02,0.1872965263E+02,0.3673904820E+06,-0.3674092116E+06,-0.3673904820E+06,-0.1469487009E+07,0.9999990186E+00,0.9990103293E+00,-0.6814631182E+00,-0.1931607086E+03,-0.1931607086E+03,0.1389781845E+02,0.4981201100E-01,0.7108437987E-01,0.1768211525E+07,-0.3935009623E+02,0.1768172175E+07
oxaliplatin-conf_2,0.1954954030E+03,0.9774770151E+02,0.9774770151E+02,0.1871362331E+02,0.3673979595E+06,-0.3674166731E+06,-0.3673979595E+06,-0.1469516983E+07,0.9999990204E+00,0.9990112221E+00,-0.6815263896E+00,-0.1931606310E+03,-0.1931606310E+03,0.1389787012E+02,0.4976318112E-01,0.7101457561E-01,0.1751810697E+07,-0.3936405765E+02,0.1751771333E+07
oxaliplatin-conf_3,0.1954899471E+03,0.9774497356E+02,0.9774497356E+02,0.1872106573E+02,0.3673894187E+06,-0.3674081398E+06,-0.3673894187E+06,-0.1469482791E+07,0.9999990195E+00,0.9990107833E+00,-0.6814640694E+00,-0.1931608566E+03,-0.1931608566E+03,0.1389699487E+02,0.4972357705E-01,0.7094896659E-01,0.1826836504E+07,-0.4006939197E+02,0.1826796435E+07
picoplatin,0.1957425686E+03,0.9787128431E+02,0.9787128431E+02,0.1853642416E+02,0.3679122656E+06,-0.3679308020E+06,-0.3679122656E+06,-0.1471574917E+07,0.9999990429E+00,0.9990226340E+00,-0.9757443708E+00,-0.1931615745E+03,-0.1931615745E+03,0.1386608177E+02,0.5248996787E-01,0.7846091722E-01,0.1696877644E+07,-0.4050390664E+02,0.1696837140E+07
picoplatin-conf_1,0.1957425767E+03,0.9787128837E+02,0.9787128837E+02,0.1853633363E+02,0.3679122767E+06,-0.3679308131E+06,-0.3679122767E+06,-0.1471574962E+07,0.9999990429E+00,0.9990226388E+00,-0.9757444838E+00,-0.1931615731E+03,-0.1931615731E+03,0.1386607793E+02,0.5248777382E-01,0.7845763678E-01,0.1696814699E+07,-0.4050385811E+02,0.1696774195E+07
picoplatin-conf_2,0.1957426173E+03,0.9787130866E+02,0.9787130866E+02,0.1853617377E+02,0.3679123512E+06,-0.3679308874E+06,-0.3679123512E+06,-0.1471575260E+07,0.9999990429E+00,0.9990226476E+00,-0.9757450483E+00,-0.1931615707E+03,-0.1931615707E+03,0.1386605876E+02,0.5248874579E-01,0.7845907976E-01,0.1696538119E+07,-0.4050351461E+02,0.1696497616E+07
satraplatin,0.1955603283E+03,0.9778016417E+02,0.9778016417E+02,0.1870206887E+02,0.3675156739E+06,-0.3675343759E+06,-0.3675156739E+06,-0.1469987887E+07,0.9999990227E+00,0.9990123782E+00,-0.9007950448E-01,-0.1931633955E+03,-0.1931633955E+03,0.1389059036E+02,0.5053018818E-01,0.7223791653E-01,0.2386204176E+07,-0.4771076388E+02,0.2386156465E+07
satraplatin-conf_1,0.1955313320E+03,0.9776566598E+02,0.9776566598E+02,0.1875805710E+02,0.3674693411E+06,-0.3674880992E+06,-0.3674693411E+06,-0.1469802332E+07,0.9999990163E+00,0.9990091799E+00,-0.8990506910E-01,-0.1931651667E+03,-0.1931651667E+03,0.1387192213E+02,0.4926474912E-01,0.7032253177E-01,0.3404648072E+07,-0.4948992600E+02,0.3404598582E+07
satraplatin-conf_10,0.1955586007E+03,0.9777930035E+02,0.9777930035E+02,0.1867110728E+02,0.3675100334E+06,-0.3675287045E+06,-0.3675100334E+06,-0.1469965449E+07,0.9999990259E+00,0.9990139971E+00,-0.9006911070E-01,-0.1931636473E+03,-0.1931636473E+03,0.1388949435E+02,0.5094339403E-01,0.7261482475E-01,0.2519831178E+07,-0.4823757888E+02,0.2519782940E+07
satraplatin-conf_2,0.1955368757E+03,0.9776843783E+02,0.9776843783E+02,0.1875604260E+02,0.3674811508E+06,-0.3674999069E+06,-0.3674811508E+06,-0.1469849579E+07,0.9999990166E+00,0.9990093330E+00,-0.8993841678E-01,-0.1931653118E+03,-0.1931653118E+03,0.1387260633E+02,0.4953907812E-01,0.7075270265E-01,0.3430831624E+07,-0.4893593983E+02,0.3430782688E+07
satraplatin-conf_3,0.1955313761E+03,0.9776568804E+02,0.9776568804E+02,0.1874393234E+02,0.3674653023E+06,-0.3674840462E+06,-0.3674653023E+06,-0.1469786233E+07,0.9999990178E+00,0.9990099256E+00,-0.8990533440E-01,-0.1931648835E+03,-0.1931648835E+03,0.1387159257E+02,0.4955813651E-01,0.7078573487E-01,0.3267896556E+07,-0.4880251086E+02,0.3267847754E+07
satraplatin-conf_4,0.1955492138E+03,0.9777460689E+02,0.9777460689E+02,0.1873595903E+02,0.3675047134E+06,-0.3675234494E+06,-0.3675047134E+06,-0.1469943910E+07,0.9999990189E+00,0.9990104967E+00,-0.9001263911E-01,-0.1931647688E+03,-0.1931647688E+03,0.1388015757E+02,0.4941279828E-01,0.7060033398E-01,0.3099268279E+07,-0.4852561250E+02,0.3099219753E+07
satraplatin-conf_5,0.1955492167E+03,0.9777460833E+02,0.9777460833E+02,0.1873593735E+02,0.3675047158E+06,-0.3675234518E+06,-0.3675047158E+06,-0.1469943920E+07,0.9999990189E+00,0.9990104978E+00,-0.9001265643E-01,-0.1931647691E+03,-0.1931647691E+03,0.1388014762E+02,0.4941179193E-01,0.7059899348E-01,0.3099652884E+07,-0.4852548664E+02,0.3099604358E+07
satraplatin-conf_6,0.1955502127E+03,0.9777510636E+02,0.9777510636E+02,0.1875437594E+02,0.3675078705E+06,-0.3675266249E+06,-0.3675078705E+06,-0.1469956465E+07,0.9999990170E+00,0.9990095334E+00,-0.9001864860E-01,-0.1931649900E+03,-0.1931649900E+03,0.1387597577E+02,0.4927941085E-01,0.7051363194E-01,0.3190740223E+07,-0.4904605604E+02,0.3190691177E+07
satraplatin-conf_7,0.1955526483E+03,0.9777632417E+02,0.9777632417E+02,0.1874349935E+02,0.3675100054E+06,-0.3675287489E+06,-0.3675100054E+06,-0.1469965048E+07,0.9999990182E+00,0.9990101278E+00,-0.9003330103E-01,-0.1931649687E+03,-0.1931649687E+03,0.1387792646E+02,0.4942797701E-01,0.7071820840E-01,0.3150721930E+07,-0.4841363934E+02,0.3150673517E+07
satraplatin-conf_8,0.1955457886E+03,0.9777289432E+02,0.9777289432E+02,0.1871967661E+02,0.3674920042E+06,-0.3675107239E+06,-0.3674920042E+06,-0.1469893138E+07,0.9999990206E+00,0.9990113269E+00,-0.8999203402E-01,-0.1931643593E+03,-0.1931643593E+03,0.1387757698E+02,0.4946347472E-01,0.7072140872E-01,0.2949928640E+07,-0.4821857709E+02,0.2949880421E+07
satraplatin-conf_9,0.1955507376E+03,0.9777536879E+02,0.9777536879E+02,0.1868126108E+02,0.3674926955E+06,-0.3675113768E+06,-0.3674926955E+06,-0.1469896057E+07,0.9999990247E+00,0.9990133954E+00,-0.9002180604E-01,-0.1931635780E+03,-0.1931635780E+03,0.1388743692E+02,0.5096432945E-01,0.7262825842E-01,0.2508799273E+07,-0.4885530913E+02,0.2508750418E+07
